Name,Definition,Precedence for Test Approach,Notes
Testability,"The ""degree of effectiveness and efficiency with which test criteria can be established … and tests can be performed to determine whether those criteria have been met"" (IEEE, 2017, p. 473; OG ISO/IEC, 2014); ""the effort … [required] to test the modified software"" (Washizaki, 2024, p. 7-10)","Part of build verification testing is verifying the testability ""of each new build"" (Hamburg and Mogyorodi, 2024); sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), which has an associated test type","A sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10)"
Time Behaviour,"The ""capability of a product to perform its specified function under specified conditions so that the response time and throughput rates meet the requirements"" (ISO/IEC, 2023a)","Sub-quality of performance efficiency (ISO/IEC, 2023a), which has an associated test type, as well as another sub-quality (capacity) and a potential sub-quality of this (response time) (ISO/IEC, 2023a)","A sub-quality of performance efficiency (ISO/IEC, 2023a)"
Traceability,"The ""degree to which a relationship can be established between two or more products of the development process"" (IEEE, 2017, p. 481; OG ISO/IEC, 2012) or ""to which each [software] element … establishes its reason for existing"" (IEEE, 2017, p. 481; OG ISO/IEC, 2010)",,"Can be aided with the use of a traceability matrix (IEEE, 2017, p. 482). See IREB"
Trust,"The ""degree to which a user or other stakeholder has confidence that a product or system will behave as intended"" (ISO/IEC, 2011)",,
Unambiguity,"The degree to which something is ""described in terms that only allow a single interpretation"" (IEEE, 2017, p. 488; OG IEEE, 2015)",,"Applicable to software, or just documentation?"
Understandability,"The ""ease with which a system can be comprehended at both the system‐organizational and detailed‐statement levels"" (IEEE, 2017, p. 489)",,"More general than readability and applicable to the system as a whole (IEEE, 2017, p. 489)"
Usefulness,"The ""degree to which a user is satisfied with their perceived achievement of pragmatic goals, including the results of use and the consequences of use"" (ISO/IEC, 2011)",,
User Assistance,"The ""capability of a product to be used by people with the widest range of characteristics and capabilities [including ""language differences and disabilities associated with age, sight, hearing, use of hands, arms and legs""] to achieve specified goals in a specified context of use"" (ISO/IEC, 2023a)","Originally a sub-quality of usability (ISO/IEC, 2011) and now a sub-quality of accessibility (renamed to ""interaction capability"") (ISO/IEC, 2023a), both of which have associated test types","A sub-quality of accessibility and interaction capability (ISO/IEC, 2023a). See ISO/IEC 25019"
User Engagement,"The ""capability of a product to present functions and information in an inviting and motivating manner encouraging continued interaction"" (ISO/IEC, 2023a)",\,"A sub-quality of interaction capability and related to pleasure and satisfaction (ISO/IEC, 2023a)"
User Error Protection,"The ""capability of a product to prevent operation errors"" (ISO/IEC, 2023a)","Originally a sub-quality of usability (ISO/IEC, 2011) and potentially related to robustness, both of which have associated test types","A sub-quality of interaction capability (ISO/IEC, 2023a) and potentially related to robustness"
User-Friendliness?,"The degree to which a system is easy and convenient to use (IEEE, 2017, p. 498)",,Difference between this and usability?
Variability?,"The degree of ""differ[ence] among members of the product line"" (IEEE, 2017, p. 500; OG ISO/IEC, 2015)",,
Verifiability,"The degree to which something ""can be checked for correctness by a person or tool"" (IEEE, 2017, p. 503; OG 2013)",,
