Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Agile Testing (Firesmith, 2015, p. 29) | Practice? | Testing performed in the context of the agile development model "based on iterative development, frequent inspection and adaptation, and incremental deliveries" (IEEE, 2017, p. 15; OG ISO/IEC, 2016) | Continuous Testing (Firesmith, 2015, p. 29; implied by Washizaki, 2024, p. 9-6), Test-driven Development (Washizaki, 2024, p. 11-10; Sangwan and LaPlante, 2006, p. 25), Lifecycle-based Testing (Washizaki, 2024, p. 10-5; OG [2, 3, 10]), Incremental Testing (Sangwan and LaPlante, 2006, p. 26), DevOps Testing? (implied by Washizaki, 2024, p. 10-7; OG [11]), At-the-Beginning Testing (if it exists; implied by Kam, 2008, p. 42) |  | Test cases may change to match changes to requirements specifications (implied by Washizaki, 2024, p. 10-5; OG [9, 10])
AJAX Testing (Doğan et al., 2014, Tab. 22) | Practice? |  | Web Application Testing (Doğan et al., 2014, Tab. 22) |  | 
All Combinations Testing | Technique (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Washizaki, 2024, p. 5-11) | Testing that covers "all unique combinations of P-V pairs" (IEEE, 2021, p. 16) | Combinatorial Testing (IEEE, 2022, p. 22; 2021, pp. 2, 16, Fig. 2; Washizaki, 2024, p. 5-11) |  | "The minimum number of test cases required to achieve 100% … coverage corresponds to the product of the number of P-V pairs for each test item parameter" (IEEE, 2021, p. 16). See also Grindal et al., 2005
All Rules Testing | Technique? (inferred from control flow testing) | Testing that covers "a set of formal business rules" (Doğan et al., 2014, Tab. 13; OG Thummalapenta et al., 2013) | Web Application Testing (Doğan et al., 2014, Tab. 13), Formal Testing, Control Flow Testing? |  | 
All Transitions Testing | Technique (inferred from state transition testing and IEEE, 2021, p. 20) | Testing that "cover[s] both valid transitions in the state model and 'invalid' transitions (transitions from states initiated by events in the state model for which no valid transition is specified)" (IEEE, 2021, p. 19) | State Transition Testing, Model-based Testing (IEEE, 2021, p. 19) |  | 
All-C-Uses Testing | Technique (IEEE, 2022, p. 22; 2021, Fig. 2; Washizaki, 2024, p. 5-13) | Testing that aims to execute all "use[s] of the value of a variable in any type of statement" (IEEE, 2017, p. 83; OG IEEE, 2015) as "defined in [a given] data definition"? (IEEE, 2017, p. 115; OG IEEE, 2015) | Data Flow Testing (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13) | Sometimes spelled in all lowercase (IEEE, 2021, p. 3, Fig. 2), All Computation Data Uses (implied by IEEE, 2017, p. 83) | See also van Vliet (2000, pp. 424-425)
All-Definitions Testing | Technique (IEEE, 2022, p. 22; 2021, Fig. 2; Washizaki, 2024, p. 5-13) | Testing that aims to execute all "statement[s] where a variable is assigned a value"? (IEEE, 2017, p. 115; OG IEEE, 2015) | Data Flow Testing (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13; Firesmith, 2015, p. 49) | Sometimes spelled without a hyphen (Firesmith, 2015, p. 49) or in all lowercase (IEEE, 2021, p. 3, Fig. 2), All Defs Testing (implied by Doğan et al., 2014, Tab. 11) | A "weaker strateg[y]" than all-DU-paths testing (Washizaki, 2024, p. 5-13). See also van Vliet (2000, pp. 424-425)
All-DU-Paths Testing | Technique (IEEE, 2022, p. 22; 2021, Fig. 2; Washizaki, 2024, p. 5-13) | Testing that "requires executing, for each variable, every control flow path segment from a definition of that variable to the use of that definition" (Washizaki, 2024, p. 5-13), or that aims to execute all "predicate or computational data use[s that] … use[] the value defined in [a given] data definition"? (IEEE, 2017, p. 125; OG IEEE, 2015) | Data Flow Testing (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13) | Sometimes spelled in all lowercase (IEEE, 2021, p. 3, Fig. 2), All Def-Use Testing (implied by Doğan et al., 2014, Tab. 11) | "The strongest data flow testing criterion" (Washizaki, 2024, p. 5-13). See also van Vliet (2000, pp. 424-425)
All-Input-GUI Testing (Doğan et al., 2014, Tab. 13; OG Mansour and Houri, 2006) | Technique? (inferred from input-parameter testing) |  | Web Application Testing, GUI Testing, Input-Parameter Testing? |  | 
All-P-Uses Testing | Technique (IEEE, 2022, p. 22; 2021, Fig. 2; Washizaki, 2024, p. 5-13) | Testing that aims to execute all "predicate data use[s that] … use[] the value defined in [a given] data definition"? (IEEE, 2017, p. 115; OG IEEE, 2015) | Data Flow Testing (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13) | Sometimes spelled in all lowercase (IEEE, 2021, p. 3, Fig. 2) | See also van Vliet (2000, pp. 424-425)
All-URL Testing | Technique? (inferred from control flow testing) | Testing that aims to "cover[] each URL of the application at least once" (Doğan et al., 2014, Tab. 13; OG Sprenkle et al., 2005) | Web Application Testing (Doğan et al., 2014, Tab. 13), Control Flow Testing? |  | Can be decomposed into covering single URLs, URL seq2, URL names, URL seq2 names, URL names values, and URL seq2 names values (Doğan et al., 2014, Tab. 13; OG Sampath et al., 2005)
All-Uses Testing | Technique (IEEE, 2022, p. 22; 2021, Fig. 2; Washizaki, 2024, p. 5-13) |  | Data Flow Testing (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13; Firesmith, 2015, p. 49) | Sometimes spelled without a hyphen (Firesmith, 2015, p. 49; Doğan et al., 2014, Tab. 11) or in all lowercase (IEEE, 2021, p. 3, Fig. 2) | A "weaker strateg[y]" than all-DU-paths testing (Washizaki, 2024, p. 5-13). See also van Vliet (2000, pp. 424-425)
Alpha Testing | Level (IEEE, 2022, p. 22; inferred from acceptance testing), Type (implied by Firesmith, 2015, p. 58) | "Simulated or actual operational testing" (Kam, 2008, p. 42) that is "first stage of testing before a product is considered ready for commercial or operational use" (IEEE, 2017, p. 17) | Acceptance Testing (IEEE, 2022, p. 22; Hamburg and Mogyorodi, 2024; Dennis et al., 2012, p. 455), Unscripted Testing (Washizaki, 2024, p. 5-8), Tester Testing (Firesmith, 2015, p. 39), Security Testing (Firesmith, 2015, p. 57), Operational Testing (Kam, 2008, p. 42), User as Tester Testing? (implied by Washizaki, 2024, p. 5-8) | Alpha Tester Testing? (Firesmith, 2015, p. 39) | "Often performed only by users within the organization developing the software" (IEEE, 2017, p. 17), by "a small, selected group of potential users" (Washizaki, 2024, p. 5-8), or "in the developer's test environment by roles outside the development organization" (Hamburg and Mogyorodi, 2024). Related to beta testing (IEEE, 2017, p. 17; Washizaki, 2024, p. 5-8). "Often employed for off-the-shelf software as a form of internal acceptance testing" (Kam, 2008, p. 42)
Anti-Spoofing Testing (Firesmith, 2015, p. 57) | Type (implied by Firesmith, 2015, p. 57) |  | Security Testing (Firesmith, 2015, p. 57) |  | 
Anti-Tamper Testing (Firesmith, 2015, p. 57) | Type (implied by Firesmith, 2015, p. 57) |  | Security Testing (Firesmith, 2015, p. 57) |  | 
API Testing | Approach | A specific form of interface testing that "simulate[s] the use of APIs by end-user applications", including "generating parameters", "defining internal data" (Washizaki, 2024, p. 5-10), and "submitting requests" (Hamburg and Mogyorodi, 2024) | Interface Testing (Washizaki, 2024, p. 5-10) | Application Program Interface Testing (Washizaki, 2024, p. 5-10) | 
Application System Testing (AST) | Approach | Testing that "aims to cover complete testing of the [e-business] application with business oriented scenarios to ensure all features of the system meet their requirements" (Gerrard, 2000b, p. 17) | Functional Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1, p. 13), Functionality Testing (2000a, Tab. 2; 2000b, Tab. 1, p. 17), System Testing, Dynamic Testing (2000a, Tab. 2; 2000b, Tab. 1), Scenario Testing (implied by 2000b, p. 17) | Application Testing? (Firesmith, 2015, p. 22) | "Simply System Testing for E-Business systems", although "the navigation buttons … are not under the control of the application" and "the Web is 'stateless'" (which is why things like cookies are used) (Gerrard, 2000b, p. 17)
Architect Testing (Firesmith, 2015, p. 39) | Practice? |  | Developer Testing (Firesmith, 2015, p. 39), Architecture-driven Testing |  | 
Architecture-driven Testing | Approach | Testing that "verifies" the "system conforms to [the specified] architecture" (Firesmith, 2015, p. 33) |  |  | 
Assertion Checking (Firesmith, 2015, p. 31) | Practice? | Testing of [separation logic] specifications to ensure that they are not violated (inferred from Chalin et al., 2006, p. 343) | Ongoing Built-In Testing (Firesmith, 2015, p. 31), Self-Testing? (implied by Firesmith, 2015, p. 31), Formal Modular Verification? (implied by Chalin et al., 2006, p. 342), Specification-based Testing? | Invariant-based Testing (implied by Doğan et al., 2014, pp. 184-185) | "Types [of assertion] include input assertion, loop assertion, output assertion" (IEEE, 2017, p. 30), which may imply sub-approaches
Asynchronous Testing (Jard et al., 1999) | Practice? | Testing in which the test environment, such as "a network connection", comes "between the tester and the IUT" (Jard et al., 1999, p. 26) | Test Environment Testing (implied by Jard et al., 1999, p. 26) |  | "Error-prone" (Jard et al., 1999, p. 25)
Attacks | Practice (IEEE, 2022, p. 34), Technique? (Hamburg and Mogyorodi, 2024) | Testing with the goal of "exploiting a specific … way of thinking about how and why software fails … [which] can be behaviour-based" (IEEE, 2022, p. 34), including by "attempting to trigger specific failures" (Hamburg and Mogyorodi, 2024) | Experience-based Testing (IEEE, 2022, p. 34; 2021, p. 4) | Fault Attacks (Hamburg and Mogyorodi, 2024) | This term can also be defined as a "malicious action or interaction with the system or its environment that has the potential to result in a fault or an error, and thereby possibly in a failure, or an adverse consequence" (IEEE, 2019, p. 7) which is essentially the same definition with the modification of being "malicious"; like the difference between white- and black-hat hacking
At-the-Beginning Testing? | Practice? |  | Static Testing?, W-Model Testing? (Gerrard, 2000a, Fig. 4), Incremental Testing?, Continuous Testing? | Early Test Case Preparation? (Gerrard, 2000a, Fig. 4) | Not described by any source; implied by at-the-end testing (Firesmith, 2015, p. 29) and early test case preparation (Gerrard, 2000a, Fig. 4)
At-the-End Testing (Firesmith, 2015, p. 29) | Practice? | Testing that occurs as "the last phase of the development life cycle" (Gerrard, 2000a, p. 8) | Waterfall Testing (Firesmith, 2015, p. 29) |  | "The most costly and least effective way of performing testing" (Gerrard, 2000a, p. 8)
Audio Testing | Approach | "Testing to determine if the game music and sound effects will engage the user in the game and enhance the game play [sic]" (Hamburg and Mogyorodi, 2024) |  |  | 
Audits | Practice? | "Independent examination[s] of … work products to assess compliance with specifications, standards, contractual agreements, or other criteria" (IEEE, 2017, p. 36; OG ISO/IEC TS 24748-1:2016) "often mandated to be performed by third parties" (Washizaki, 2024, p. 12-14; similar in Hamburg and Mogyorodi, 2024) | Static Analysis? (Washizaki, 2024, p. 12-13), Static Testing, Compliance Testing (implied by IEEE, 2022, p. 44), Independent Test Organization Testing? |  | Also described as testing "used to verify compliance with standards" (IEEE, 2022, p. 44)
Automated Testing | Practice (IEEE, 2022, pp. 20, 22) | Testing "executed by a test automation tool" (IEEE, 2022, p. 35) such as test drivers (Gerrard, 2000a, p. 11) | Scripted Testing (IEEE, 2022, p. 33), Developer Testing (can be) (Gerrard, 2000a, p. 11) |  | Often cost-effective "if a set of test cases is going to be executed 5 or more times" (IEEE, 2022, p. 35) but "must be automated as much as possible throughout the entire software delivery process, including throughout development and operations", and at all levels (Washizaki, 2024, p. 6-13); it is time-consuming to "automate manual tests later" (Gerrard, 2000a, p. 11). See also "automated verification system " (IEEE, 2017, p. 37)
Availability Testing | Type (implied by its quality (ISO/IEC, 2023a; IEEE, 2017, p. 38; OG ISO/IEC 16350-2015)) | Testing the "capability of a product to be operational and accessible when required for use" (ISO/IEC, 2023a) or "to perform its required function at an agreed instant or over an agreed period of time" (IEEE, 2017, p. 38; OG ISO/IEC 16350-2015), usually represented as a ratio, percentage (IEEE, 2017, p. 38), or proportion (ISO/IEC, 2023a) representing uptime (Gerrard, 2000b, p. 26) | Reliability Testing (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), Security Testing (IEEE, 2017, p. 404), Post-Deployment Monitoring (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1, p. 32), Non-functional Testing, Automated Testing, Dynamic Testing, Post-Deployment Monitoring (2000a, Tab. 2; 2000b, Tab. 1), Dependability Testing (if it exists) (ISO/IEC, 2023a) |  | Can be supported by "failover or duplication of systems" (ISO/IEC, 2023a), "diverse routing", multiple servers, middleware, or "distributed object technology that handles load balancing and rerouting of traffic in failure scenarios" (Gerrard, 2000b, p. 26). Related to robustness testing, as well as error/fault tolerance testing (if they exist) (IEEE, 2017, p. 38)
Back-to-Back Testing | Practice (IEEE, 2022, p. 22) | Testing "whereby an alternative version of the system is used to generate expected results for comparison from the same test inputs" (IEEE, 2022, p.2) or where "two or more variants of a program are executed with the same inputs, the outputs are compared, and errors are analyzed in case of discrepancies" (IEEE, 2017, p. 38; similar in Hamburg and Mogyorodi, 2024; OG Spillner) | Non-functional Testing (Washizaki, 2024, p. 5-9) | Differential Testing (IEEE, 2022, p.2) | "Not a test case generation technique as test inputs are not generated" (IEEE, 2022, p. 35). Similar to testing using a pseudo-oracle (Barr et al., 2015, p. 515) and related to mutation testing (IEEE, 2017, p. 38)
Backup and Recovery Testing | Type (inferred from reliability testing) | Testing "that measures the degree to which system state can be restored from backup within specified parameters of time, cost, completeness, and accuracy in the event of failure" (IEEE, 2013, p. 2) | Reliability Testing (IEEE, 2013, p. 2) |  | Nonatomic; captures both "backup" and "recovery". Seems to be what is meant by "recovery testing" in the context of performance
Backup Testing (implied by Washizaki, 2024, p. 6-8) | Approach |  |  |  | "Should be constantly rehearsed as changes to the production environment are made" (Washizaki, 2024, p. 6-8)
Backwards Compatibility Testing (Firesmith, 2015, p. 53) | Type (implied by Firesmith, 2015, p. 53) |  | Compatibility Testing (Firesmith, 2015, p. 53) |  | 
Base Choice Testing | Technique (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2) | Testing "based on … representative or typical value[s] for … [given input] parameter[s]" (IEEE, 2021, p. 1) "where all parameters except one are set to their 'base' value and the final parameter is set to one of its other valid values" (p. 17) | Combinatorial Testing (IEEE, 2022, p. 22; 2021, pp. 2, 17, Fig. 2), Scenario Testing (can be; p. 17), Smoke Testing? | Base Value Testing (implied by IEEE, 2021, pp. 1, 17) | "Generally[,] the base choice is the most 'important' [or "most frequently used"] value that the parameter can take" (IEEE, 2021, p. 17). See Grindal et al., 2005
Baseline Testing (Kam, 2008, p. 15) | Approach, "Method" (Kam, 2008, p. 15) |  |  |  | 
Behaviour Analysis? | Approach |  | Static Testing, W-Model Testing (Gerrard, 2000a, Fig. 4), Static Analysis? |  | 
Beta Testing | Level (IEEE, 2022, p. 22), Type (implied by Firesmith, 2015, p. 58) | The "second stage of testing when a product is in limited production use" (IEEE, 2017, p. 17) "to determine whether or not … [it] satisfies the user/customer needs and fits within the business processes" (Kam, 2008, p. 42) | Acceptance Testing (IEEE, 2022, p. 22; Hamburg and Mogyorodi, 2024; Dennis et al., 2012, p. 455), Unscripted Testing (Washizaki, 2024, p. 5-8, implied by Dennis et al., 2012, p. 455), User Testing (Firesmith, 2015, p. 39), Security Testing (Firesmith, 2015, p. 58), Operational Testing (Kam, 2008, p. 42), User as Tester Testing? | Beta Tester Testing? (Firesmith, 2015, p. 39) | "Often performed at a customer site" (IEEE, 2017, p. 45) by "a larger set of representative users" (Washizaki, 2024, p. 5-8) or, more specifically, "at an external site to the developer's test environment by roles outside the development organization" (Hamburg and Mogyorodi, 2024); related to alpha testing (Washizaki, 2024, p. 5-8)
Big-Bang Testing | Level (inferred from integration testing) | "Testing in which … [components of a system] are combined all at once into an overall system, rather than in stages" (IEEE, 2017, p. 45) | Integration Testing (Washizaki, 2024, p. 5-7; IEEE, 2017, p. 45; Sharma et al., 2021, p. 603; Kam, 2008, p. 42) |  | 
Block Testing (implied by Doğan et al., 2014, Tab. 11) | Technique (inferred from structure-based testing) |  | Structured-based Testing (implied by Doğan et al., 2014, Tab. 11), Control Flow Testing? |  | 
Blue Team Testing (Firesmith, 2015, p. 57) | Type (implied by Firesmith, 2015, p. 57) |  | Penetration Testing (Firesmith, 2015, p. 57) |  | 
Bottom-Up (Integration) Testing | Level (inferred from integration testing) | Integration testing (Washizaki, 2024, p. 5-7; Kam, 2008, p. 42) that "starts with the lowest-level components … and proceeds through progressively higher-levels" (IEEE, 2017, p. 49; OG ISO/IEC 2015; similar in Kam, 2008, p. 42) | Integration Testing (Washizaki, 2024, p. 5-7; Sharma et al., 2021, p. 603; Kam, 2008, p. 42; Sangwan and LaPlante, 2006, p. 27) |  | Difference between this as integration testing vs. not (as in Firesmith, 2015, p. 28; Gerrard, 2000b, p. 27)? Often used for functional web application testing (Gerrard, 2000b, p. 13)
Boundary Value Analysis | Technique (IEEE, 2022, pp. 2, 20, 22; 2021, pp. 1, 7, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024) | Testing "based on exercising the boundaries of equivalence partitions" (IEEE, 2022, p. 2; 2021, p. 1; similar on p. 12 and in Hamburg and Mogyorodi, 2024) (i.e., "minimum or maximum input[s], internal [values], or output value[s] specified for a system or component" (IEEE, 2017, p. 49)) | Specification-based Testing (IEEE, 2022, pp. 2, 22; 2021, p. 1, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1), Equivalence Partitioning (IEEE, 2022, p. 2; 2021, p. 1; implied by pp. 10, 12 and Hamburg and Mogyorodi, 2024), Model-based Testing (IEEE, 2021, p. 12), Negative Testing (can be; p. 10), One-to-One Testing, Minimized Testing (can be; pp. 11, 13; OG BS 7925-2; Myers 1979) Gray-Box Testing (Firesmith, 2015, p. 48), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5), Functional Testing? (IEEE, 2022, p. 20) | Boundary Testing (implied by IEEE, 2021, p. 13) | "Contiguous partitions … will result in duplicate test coverage items, in which case it is typical practice to only exercise these duplicated values once" (IEEE, 2021, p. 13). Seems to be related to stress testing (IEEE, 2017, p. 49). See also BS 7925-2; Myers 1979; and Patton, 2006, pp. 70-74
Branch Condition Combination Testing | Technique (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Hamburg and Mogyorodi, 2024) | Testing "based on exercising combinations of Boolean values of conditions within a decision" (IEEE, 2021, p. 2) | Structure-based Testing (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Hamburg and Mogyorodi, 2024) | (Multiple) Condition Testing (Hamburg and Mogyorodi, 2024; Patton, 2006, p. 120), Condition Combination Testing (Hamburg and Mogyorodi, 2024), Extended Branch Coverage? (van Vliet, 2000, p. 422) | 
Branch Condition Testing | Technique (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2; Washizaki, 2024, p. 5-13) | Testing "based on exercising combinations of Boolean values of conditions within decisions and the decision outcomes" (IEEE, 2021, p. 2) | Structure-based Testing (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2), Control Flow Testing (Washizaki, 2024, p. 5-13) | (Multiple) Condition Testing? (Patton, 2006, p. 120), Extended Branch Coverage? (van Vliet, 2000, p. 422) | 
Branch Testing | Technique (IEEE, 2022, pp. 2, 22; 2021, pp. 2, 8, Fig. 2; Washizaki, 2024, p. 5-13; Hamburg and Mogyorodi, 2024) | Testing "based on exercising branches [or "execut[ing] each outcome of each decision point" (IEEE, 2017, p. 51)] in the control flow of the test item" (IEEE, 2022, p. 2; 2021, p. 2) | Structure-based Testing (IEEE, 2022, pp. 2, 22; 2021, p. 2, Fig. 2; Hamburg and Mogyorodi, 2024), Control Flow Testing (Washizaki, 2024, p. 5-13; Firesmith, 2015, p. 49; implied by IEEE, 2021, p. 2), Closed-Loop Testing (Preuße et al., 2012, p. 6) | Arc Testing (Kam, 2008, p. 42) | IEEE (2017, p. 51) says it is "designed to execute each outcome of each decision point"; is this level of coverage required or advised?
Browser Page Testing | Approach | Testing "the objects that execute within the browser, but … not … the server-based components", including code within HTML and applets (Gerrard, 2000b, p. 13) | Smoke Testing, Functional Testing, Dynamic Testing, Desktop Development Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Web Application Testing |  | "Most easily tested against checklists" (Gerrard, 2000b, p. 13)
Buddy Testing | Technique (Washizaki, 2024, p. 5-14) | Testing that "generates test cases by using internal architecture knowledge and testing specific knowledge" (Washizaki, 2024, p. 5-14); this definition seems vague | Ad Hoc Testing (Washizaki, 2024, p. 5-14), Group Testing (Firesmith, 2015, p. 36), Embedded Tester Testing (Firesmith, 2015, p. 39) |  | Related to pair testing
Bug Hunt Testing (Firesmith, 2015, p. 50) | Technique? |  | Experience-based Testing (Firesmith, 2015, p. 50) |  | 
Build Verification Testing (BVT) | Practice (inferred from automated testing) | "Automated test[ing] that validates the integrity of each new build and verifies its key/core functionality, stability, and testability" (Hamburg and Mogyorodi, 2024) | Automated Testing (Hamburg and Mogyorodi, 2024); Integrity, Functionality, Stability, and Testability Testing (if they exist) |  | 
Built-In Testing (Firesmith, 2015, p. 31) | Practice? |  |  | BIT (Firesmith, 2015, p. 31), Self-Testing? (implied by Firesmith, 2015, p. 31) | 
Business Acceptance Testing (Firesmith, 2015, p. 30) | Level (Firesmith, 2015, p. 30; inferred from acceptance testing) |  | Acceptance Testing (Firesmith, 2015, p. 30) | BAT (Firesmith, 2015, p. 30) | 
Business Process-based Testing (Kam, 2008, p. 42) | Technique (Washizaki, 2024, p. 5-12) | Testing "designed based on descriptions and/or knowledge of business processes" (Kam, 2008, p. 43), including "roles in a workflow specification" (Washizaki, 2024, p. 5-12) | Scenario-based Testing (Washizaki, 2024, p. 5-12) | Business Process Testing (Washizaki, 2024, p. 5-12) | 
Canary (Release) Testing (see Washizaki, 2024, pp. 6-5, 6-10) | Technique (Washizaki, 2024, p. 6-5) | "A partial and time-limited deployment of a change in a service and an evaluation of that change" to help "decide whether to proceed with a complete deployment" (Washizaki, 2024, p. 6-10) |  |  | A method for "testing the software in the production system context" which "can be particularly challenging" (Washizaki, 2024, p. 6-5)
Capacity Testing | Type (IEEE, 2022, p. 22; 2013, p. 2; implied by its quality (ISO/IEC, 2023a) and by Firesmith, 2015, p. 53) | Testing that evaluates the "capability of a product to meet requirements for the maximum limits of a product parameter", such as the number of concurrent users, transaction throughput, or database size (ISO/IEC, 2023a) | Performance Testing (Washizaki, 2024, p. 5-9; implied by Moghadam, 2019, p. 1187; implied by IEEE, 2022, p. 22), Performance Efficiency Testing (IEEE, 2013, p. 2; ISO/IEC, 2023a), Volume Testing (potentially) (IEEE, 2017, p. 508; OG 2013) |  | Has the following subcategories: channel capacity (IEEE, 2017, p. 67), memory capacity (p. 270), storage capacity (p. 441)
Capture-Replay Driven Testing | Practice (IEEE, 2022, p. 22; inferred from automated testing); Approach (Hamburg and Mogyorodi, 2024) | "A test automation approach in which inputs to the test object are recorded during manual testing to generate automated test scripts that can be executed later" (Hamburg and Mogyorodi, 2024) | Automated Testing (IEEE, 2022, pp. 22, 35; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 44), Specification-based Testing (implied by Doğan et al., 2014, p. 194) | Capture/Playback, Capture/Replay, Record/Playback (Hamburg and Mogyorodi, 2024), Record-Playback Testing? (Firesmith, 2015, p. 44) | 
