Name | Definition | Precedence for Test Approach | Synonym(s) | Notes
Correctability | The "degree of effort required to correct software defects and to cope with user complaints" (IEEE, 2017, p. 104) |  |  | Related to maintainability/modifiability (and if so, implies testing type)?
Coupling | The "manner and degree of interdependence between software modules" or "how closely connected … [they] are" (IEEE, 2017, p. 107) |  |  | Has the following subcategories: "common-environment", "content", "control", "data" (or "input-output" (IEEE, 2017, p. 114)), "hybrid", and "pathological" (IEEE, 2017, p. 107). A related idea, "decoupling", seems to refer to a process rather than a quality (IEEE, 2017, p. 124)
Cross-Browser Compatibility | "The degree to which a website or web application can function across different browsers and degrade gracefully when browser features are absent or lacking" (Hamburg and Mogyorodi, 2024) | Subquality of compatibility, which has an associated test type |  | 
Dependability | The "trustworthiness of a computer system such that reliance can be justifiably placed on the service it delivers" (IEEE, 2017, p. 127); "a collective term for the time-related quality characteristics of an  item" (IEEE, 2024, p. 21; OG IEC 60050-192) | Includes reliability (IEEE, 2024, pp. 14, 21, 23, 36-48; 2017, p. 375; ISO/IEC, 2023a), availability (IEEE, 2024, pp. 14, 21, 23, 48-59; 2017, p. 375; ISO/IEC, 2023a), recoverability (IEEE, 2024, pp. 14, 21, 23, 62-66; 2017, p. 375), performance efficiency (ISO/IEC, 2023a), security (2023a; IEEE, 2017, p. 375), "(including confidentiality and integrity), maintainability, durability" (p. 375), and fault tolerance (ISO/IEC, 2023a; IEEE, 2017, p. 375), many of which have associated test types. Seems to be a subapproach of requirements-based testing (IEEE, 2024, pp. 22, 24-26) |  | Related to "availability performance and its influencing factors" (IEEE, 2017, p. 127; OG ISO/IEC, 2013). See IEC 60050-192
Diversity | The (amount/degree of?) "realization of the same function by different means" (IEEE, 2017, p. 143) |  |  | "Software diversity" is described as a "software development technique … with the intent of providing error detection, increased reliability, additional documentation, or reduced probability … [of] programming or compiler errors" (IEEE, 2017, p. 421). See also "homogeneous redundancy" (IEEE, 2017, p. 207)
Effectiveness | The "accuracy and completeness with which users achieve specified goals" (ISO/IEC, 2011; similar in Hamburg and Mogyorodi, 2024) |  |  | Related to efficiency (Hamburg and Mogyorodi, 2024). See ISO 9241
Expandability | The "degree of effort required to improve or modify software functions' efficiency" (IEEE, 2017, p. 173) |  |  | Related to extendability (IEEE, 2017, p. 173)
Extendability | The "ease with which a system or component can be modified to increase its storage or functional capacity" (IEEE, 2017, p. 174) |  | Extensibility (IEEE, 2017, p. 174) | Related to expandability, flexibility, and maintainability (IEEE, 2017, p. 174)
Faultlessness | The "capability of a product to perform specified functions without fault under normal operation" (ISO/IEC, 2023a) | Subquality of reliability (ISO/IEC, 2023a) and availability (IEEE, 2017, p. 38), which have associated test types |  | A subquality of dependability; can also be applied to other qualities (ISO/IEC, 2023a)
Freedom from Risk | The "degree to which a product or system mitigates the potential risk to economic status, human life, health, or the environment" (ISO/IEC, 2011) |  |  | Has subqualities that are different varities of "risk mitigation": economic, health and safety, and environmental (ISO/IEC, 2011); these seem more like functional attributes than qualities
Functional Appropriateness | The "capability of a product to provide functions that facilitate the accomplishment of specified tasks and objectives" while "excluding any unnecessary steps" (ISO/IEC, 2023a) | Subquality of functional suitability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1), which has an associated test type | Suitability "for the task" (ISO/IEC, 2023a; see ISO 9241-110; Hamburg and Mogyorodi, 2024 (although they do not specify "for the task")) | Subquality of appropriateness?
Functional Completeness | The "capability of a product to provide a set of functions that covers all the specified tasks and intended users' objectives" (ISO/IEC, 2023a) | Subquality of functional suitability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1), which has an associated test type |  | Subquality of completeness?
Functional Correctness | The "capability of a product to provide accurate [and precise] results when used by intended users" (ISO/IEC, 2023a) | Subquality of functional suitability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1), which has an associated test type; may be a subquality of correctness, which also has an associated test type | Accuracy? (Hamburg and Mogyorodi, 2024) (this seems incomplete) | Possible tradeoff between achieving fully and automating, at least in some contexts (Berdine et al., 2006, p. 116)
Functional Safety | "The absence of unreasonable risk due to hazards caused by malfunctioning behavior of Electric/Electronic(E/E) - Systems" (Hamburg and Mogyorodi, 2024) | Subquality of safety, which may have an associated test type | Safety (sometimes) (Hamburg and Mogyorodi, 2024) | See ISO 26262
Generality | The "degree to which a system or component performs a broad range of functions" (IEEE, 2017, p. 197) |  |  | Related to reusability (IEEE, 2017, p. 197)
Health (IEEE, 2017, p. 361; 2015, p. 8) |  |  |  | 
Immunity | The "degree to which a product or system is resistant to attack" (IEEE, 2017, p. 214; OG ISO/IEC, 2011) |  |  | Related to integrity (IEEE, 2017, p. 214)
Inclusivity | The "capability of a product to be utilised by people of various backgrounds … [including] people of various ages, abilities, cultures, ethnicities, languages, genders, economic situations, education, geographical locations and life situations" (ISO/IEC, 2023a) | Subquality of accessibility (renamed to "interaction capability") (ISO/IEC, 2023a), which has an associated test type |  | 
Interaction Capability | The "capability of a product to be interacted with by specified users to exchange information between a user and a system via the user interface to complete the intended task" (ISO/IEC, 2023a) | Prerequisite for usability (ISO/IEC, 2023a), which has an associated test type |  | "Focus[es] on a set of attributes that enable interaction by users (or operators) to complete specific tasks in a variety of contexts of use", vs. usability, which "focuses on outcomes of use to determine whether tasks are achieved by users with effectiveness, efficiency and satisfaction in a specific context of use" (ISO/IEC, 2023a; see ISO/IEC 25019), although the latter seems to still be present in some subqualities (e.g., user assistance) (ISO/IEC, 2023a)
Learnability | The "capability of a product to have specified users learn to use specified product functions within a specified amount of time" (ISO/IEC, 2023a) or a product or system's "suitability for learning" (IEEE, 2017, p. 249) | Originally a subquality of usability (IEEE, 2021c, Tab. A.1; ISO/IEC, 2011), which has an associated test type |  | A subquality of interaction capability (ISO/IEC, 2023a). See ISO 9241-110
Manageability | The "degree to which IT infrastructure management can attain and keep an application in its operational state" (IEEE, 2017, p. 262; OG ISO/IEC, 2015) |  |  | "Involves the transparency and manageability of applications from an infrastructure point of view" (IEEE, 2017, p. 262)
Maturity | The "degree to which a system, product or component meets needs for reliability under normal operation" (ISO/IEC, 2011) | Subquality of reliability (IEEE, 2021c, Tab. A.1; Washizaki, 2024, p. 7-10; ISO/IEC, 2011; Hamburg and Mogyorodi, 2024), which has an associated test type |  | Replaced with "faultlessness" by ISO/IEC (2023a)
Migratability | The "ability to change the configuration, substituting one reference point of an object for another while the object is being used"(IEEE, 2017, p. 276; OG ISO/IEC, 2009) |  |  | This definition is worded weirdly. Related to portability (IEEE, 2017, p. 276)
Modifiability | The "capability of a product to be effectively and efficiently modified without introducing defects or degrading existing product quality" (ISO/IEC, 2023a; similar in Washizaki, 2024, p. 7-10; IEEE, 2017, p. 280; OG IEEE, 2015; Hamburg and Mogyorodi, 2024) | Subquality of maintainability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; Washizaki, 2024, p. 7-10) which has an associated test type | Changeability (Hamburg and Mogyorodi, 2024) | Related to analyzability and modularity (ISO/IEC, 2023a; IEEE, 2017, p. 280)
Modularity | The "degree to which a system … is composed of discrete components such that a change to one component has minimal impact on other components" (IEEE, 2017, p.  281; similar in Washizaki, 2024, p. 7-10 with a more vague definition of "independent" and ISO/IEC, 2023a) | Subquality of maintainability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; Washizaki, 2024, p. 7-10) which has an associated test type |  | Related to the idea of low coupling, high cohesion, and modifiability (IEEE, 2017, p. 281)
Non-Repudiation | The "capability of a product to prove that actions or events have taken place, so that the events or actions cannot be repudiated later" (ISO/IEC, 2023a) | Subquality of security (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; 2017, p. 404), which has an associated test type |  | See ISO 7498-2:1989
Operability | The "capability of a product to have functions and attributes that make it easy to operate and control" (ISO/IEC, 2023a) | Originally a subquality of usability (IEEE, 2021c, Tab. A.1; ISO/IEC, 2011), which has an associated test type |  | A subquality of interaction capability (ISO/IEC, 2023a) and "related to controllability, user error robustness and conformity with user expectations" (ISO/IEC, 2023a; see ISO 9241-110)
Permanence | The "degree to which failures can affect object state changes due to completed transactions" (IEEE, 2017, p. 320; OG ISO/IEC, 2009) |  |  | 
Pleasure | The "degree to which a user obtains pleasure from fulfilling their personal needs" (ISO/IEC, 2011) |  |  | 
Precision | The "degree of exactness or discrimination with which a quantity is stated" (IEEE, 2017, p. 331) |  |  | A subquality of correctness (ISO/IEC, 2023a)
Presentability | The ability to "be retrieved and viewed" (IEEE, 2017, p. 333; OG IEEE, 2015) |  |  | 
(Product) Quality | The "degree to which the product satisfies stated and implied needs when used under specified conditions" (IEEE, 2017, p. 345; OG ISO/IEC, 2012) |  |  | 
Readability | The "ease with which a system's source code can be read and understood, especially at the detailed, statement level" (IEEE, 2017, p. 367) |  |  | 
Redundancy (implied by Bas, 2024, p. 26) |  | May be a part of disaster/recovery testing (implied by Bas, 2024, p. 26) |  | 
Replaceability | The "capability of a product to replace another specified product for the same purpose in the same environment" (ISO/IEC, 2023a; similar in IEEE, 2017, p. 377) | Subquality of flexibility (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1), which has an associated test type |  | Can reduce lock-in risk (ISO/IEC, 2023a)
Resilience (Gerrard, 2000b, p. 22) |  | Related to performance (Gerrard, 2000b, p. 22), which has an associated test type |  | Can be improved through stress testing (p. 23)
Resistance | The "capability of a product to sustain operations while under attack from a malicious actor" (ISO/IEC, 2023a) | Subquality of security (ISO/IEC, 2023a), which has an associated test type |  | 
Reusability | The "degree to which an asset can be used in more than one system, or in building other assets" (IEEE, 2017, p. 387; OG 2010; similar in ISO/IEC, 2023a; Washizaki, 2024, p. 7-10) | Subquality of maintainability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; Washizaki, 2024, p. 7-10) which has an associated test type |  | Related to generality (IEEE, 2017, p. 387)
Satisfaction | The "degree to which user needs are satisfied when a product or system is used in a specified context of use" or "the user’s response to interaction with the product or system" (ISO/IEC, 2011) | May be a parent of player perspective testing (Hamburg and Mogyorodi, 2024) |  | Has the following subqualities: usefulness, trust, pleasure, comfort; "includes attitudes towards use of the product" (ISO/IEC, 2011)
Self-Descriptiveness | The "capability of a product to present appropriate information … to make its [objectives, properties (IEEE, 2017, p. 407),] capabilities and use immediately obvious to the user without excessive interactions with a product or other resources[,] … includ[ing] user documentation, help desks, [and] other users" (ISO/IEC, 2023a) |  |  | A subquality of interaction capability (ISO/IEC, 2023a) and related to "maintainability, testability, usability" (IEEE, 2017, p. 407) and potentially learnability and the idea of being self-documented?
Service Availability (Washizaki, 2024, p. 6-7) |  |  |  | Related to availability? A subset?
Service Continuity | The "capability to deliver a service without interruption, or with consistent availability as scheduled and agreed" (IEEE, 2017, p. 411) |  |  | A subquality of continuity? Related to service availability?
Simplicity | The "degree to which a system or component has a design and implementation that is straightforward and easy to understand" (IEEE, 2017, p. 414) |  |  | Contrasted with complexity (IEEE, 2017, p. 414)
Supportability | "The frequency, scope, and consistency of support actions to establish, preserve, and revise conditions and resources necessary for ongoing use of an in-service system" (IEEE, 2024, p. 19) | Subquality of dependability (IEEE, 2024, pp. 14, 19, 21, 23, 60-62) |  | 
Testability | The "degree of effectiveness and efficiency with which test criteria can be established … and tests can be performed to determine whether those criteria have been met" (IEEE, 2017, p. 473); "the effort … [required] to test the modified software" (Washizaki, 2024, p. 7-10) | Part of build verification testing is verifying the testability "of each new build" (Hamburg and Mogyorodi, 2024); subquality of maintainability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; Washizaki, 2024, p. 7-10) which has an associated test type |  | 
Time Behaviour | The "capability of a product to perform its specified function under specified conditions so that the response time and throughput rates meet the requirements" (ISO/IEC, 2023a) | Subquality of performance efficiency (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1), which has an associated test type, as well as another subquality (capacity) and a potential subquality of this (response time) (ISO/IEC, 2023a) |  | 
Traceability | The "degree to which a relationship can be established between two or more products of the development process" (IEEE, 2017, p. 481; OG ISO/IEC, 2012) or "to which each [software] element … establishes its reason for existing" (IEEE, 2017, p. 481; OG ISO/IEC, 2010) such as "related items in documentation and software" (Kam, 2008, p. 48) |  |  | Can be aided with the use of a traceability matrix (IEEE, 2017, p. 482). See IREB
Trust | The "degree to which a user or other stakeholder has confidence that a product or system will behave as intended" (ISO/IEC, 2011) |  | Trustworthiness (implied by IEEE, 2024, p. 19) | I think "trustworthiness" is a better term
Unambiguity | The degree to which something is "described in terms that only allow a single interpretation" (IEEE, 2017, p. 488; OG IEEE, 2015) |  |  | Applicable to software, or just documentation?
Understandability | The "ease with which a system can be comprehended at both the system-organizational and detailed-statement levels" (IEEE, 2017, p. 489) |  |  | More general than readability and applicable to the system as a whole (IEEE, 2017, p. 489)
Usefulness | The "degree to which a user is satisfied with their perceived achievement of pragmatic goals, including the results of use and the consequences of use" (ISO/IEC, 2011) |  |  | 
User Assistance | The "capability of a product to be used by people with the widest range of characteristics and capabilities [including "language differences and disabilities associated with age, sight, hearing, use of hands, arms and legs"] to achieve specified goals in a specified context of use" (ISO/IEC, 2023a) | Originally a subquality of usability (ISO/IEC, 2011) and now a subquality of accessibility (renamed to "interaction capability") (ISO/IEC, 2023a), both of which have associated test types |  | A subquality of interaction capability (ISO/IEC, 2023a). See ISO/IEC 25019
User Engagement | The "capability of a product to present functions and information in an inviting and motivating manner encouraging continued interaction" (ISO/IEC, 2023a) | Originally a subquality of usability (as "user interface aesthetics") (ISO/IEC, 2011), which has an associated test type |  | A subquality of interaction capability and related to pleasure and satisfaction (ISO/IEC, 2023a)
User Error Protection | The "capability of a product to prevent operation errors" (ISO/IEC, 2023a) | Originally a subquality of usability (IEEE, 2021c, Tab. A.1; ISO/IEC, 2011) and potentially related to robustness, both of which have associated test types |  | A subquality of interaction capability (ISO/IEC, 2023a)
User Interface Aesthetics (IEEE, 2021c, Tab. A.1) | The "degree to which a user interface enables pleasing and satisfying interaction for the user" (ISO/IEC, 2011) | Subquality of usability (IEEE, 2021c, Tab. A.1), which has an associated test type |  | Related to pleasure and satisfaction (ISO/IEC, 2011)
User-Friendliness? | The degree to which a system is easy and convenient to use (IEEE, 2017, p. 498) |  |  | Difference between this and usability?
Variability? | The degree of "differ[ence] among members of the product line" (IEEE, 2017, p. 500; OG ISO/IEC, 2015) |  |  | 
Verifiability | The degree to which something "can be checked for correctness by a person or tool" (IEEE, 2017, p. 503; OG 2013) |  |  | 
